food_name,serving_size_g,energy_kcal,carbohydrate_g,total_sugars_g,fat_g,protein_g,calcium_mg,phosph_mg,sodium_mg,potassium_mg,magnesium_mg,iron_mg,zinc_mg,cholesterol_mg,transfat_g,class
전주비빔밥,450.0,662.192,92.98948756,3.44,13.033502488,15.843492537,65.03999999999999,236.121,1281.302,450.114,10.839,3.23500995,2.863487562,286.943,0.0,01014005
삼선볶음밥,400.0,683.617,113.42848756,5.093999999999999,16.842502488,19.258492537,119.373,249.11,1155.806,640.9730000000001,29.67,4.52400995,3.569487562,119.13,0.0,01014006
새우볶음밥,400.0,634.52,91.62000000000002,0.0,17.905,24.11499999999999,81.82000000000001,341.3,1124.628,710.655,17.68,4.145666666666667,2.817606060333333,127.2,0.0,01014007
알밥,400.0,606.54,92.10000000000001,0.0,3.45,15.16,68.6,235.4,1647.866,510.41,7.4,3.56,3.3,39.0,0.0,01014008
산채비빔밥 ,400.0,495.89,89.6601645,0.52,10.9935671,10.663298701,63.09999999999999,160.294,1060.778,509.952,38.808,3.526268398,2.053437229,0.0,0.0,01014009
오므라이스,450.0,684.986,101.6211645,0.0,19.7515671,23.145298701,81.556,341.2569999999999,1123.236,788.3779999999999,33.71,4.132601730999999,3.665997835,605.625,0.0,01014010
육회비빔밥,450.0,661.41,91.74216450000004,2.58,17.5395671,32.001298701,86.38,404.7400000000001,1126.6,793.74,33.58,5.968268398,6.529437228999999,241.65,0.0,01014011
해물볶음밥,400.0,659.23,85.19216449999999,0.0,23.7095671,22.681298701,77.49999999999999,305.55,951.0300000000001,555.3600000000001,24.2,4.128268398,3.079437229,362.4,0.0,01014012
열무비빔밥,400.0,445.66,90.0321645,1.72,3.1595671,12.991298701,91.05999999999999,167.96,718.39,708.68,1.29,3.908268398,2.652164502,12.8,0.0,01014013
불고기덮밥,500.0,699.96,92.0921645,5.99,21.3995671,29.311298701,45.77000000000001,328.3700000000001,1182.88,764.5,30.22,4.248268398,8.772164501999999,72.0,0.0,01015002
소고기국밥,700.0,331.71,54.93,0.0,4.74,16.04,33.02,194.58,1613.21,485.21,0.0,3.61,2.31,25.5,0.0,01015003
송이덮밥,600.0,600.42,103.57,0.0,14.45,16.28,91.94,279.96,1578.85,1313.48,0.0,5.71,4.25,9.54,0.0,01015004
오징어덮밥,500.0,693.9799999999998,83.42800000000001,2.688,20.92,40.59,76.77000000000001,586.8299999999998,1497.37,874.9599999999999,62.69,3.227,4.626,387.6,0.0,01015005
자장밥,500.0,729.6170000000001,98.078,4.0,24.95,25.758,81.90500000000002,297.1199999999999,1521.85,781.9300000000001,32.504,5.701,5.681999999999998,36.0,0.0,01015006
잡채밥,650.0,851.54,125.7,4.0,28.61,21.14,84.10999999999999,287.78,2251.34,817.0800000000002,32.55,4.829999999999999,5.895999999999999,36.0,0.0,01015007
잡탕밥,750.0,737.23,100.55,0.0,22.48,29.02,77.6,363.2500000000001,1922.135,803.73,15.65,4.859999999999999,6.223999999999999,188.05,0.0,01015008
장어덮밥,400.0,671.7199999999999,103.036424242,0.0,19.236181818,26.135818182,611.1199999999999,448.26,893.22,785.08,28.6,22.165575758,4.746,156.96,0.0,01015009
제육덮밥,500.0,796.94,95.8,5.4,27.52,37.8,46.04,573.7,1375.69,624.95,0.0,6.28,7.17,108.0,0.0,01015010
짬뽕밥,900.0,696.6878378,93.41573338,0.0,22.41699592,41.79552295,394.1657658,667.6127928,2869.53538288,1715.521081,0.0,11.59119369,5.569690154,304.3,0.0,01015011
순대국밥,900.0,690.3500000000001,34.229,0.0,16.478,17.338,132.855,239.255,3418.195,672.91,3.45,9.11,6.622,1480.97,0.0,01015012
카레라이스,500.0,653.24,92.576,0.0,10.667,13.398,27.9,218.24,1108.55,525.62,70.18,1.982,2.655,13.75,0.0,01015013
전주콩나물국밥,900.0,432.38,88.732,0.0,3.525,12.496,76.88,231.65,1753.255,525.79,67.79,2.384,2.368,2.77,0.0,01015014
해물덮밥,700.0,837.976,100.112,0.0,29.0,51.768,167.536,542.32,2117.832,1361.768,34.8,16.632,5.856,293.872,0.0,01015015
회덮밥,500.0,697.996,101.753,18.405,11.397,42.992,117.12,587.9400000000002,777.6299999999999,1131.35,6.98,3.900000000000001,2.672,125.59,0.0,01015016
소머리국밥,1100.0,891.4300000000002,77.05799999999999,0.0,40.76200000000001,48.943,53.255,302.425,970.8949999999999,455.78,24.665,1.891,4.220000000000001,477.1,0.0,01015017
돼지국밥,1200.0,811.4399999999999,78.28399999999999,3.3,36.453,56.755,65.73,280.74,1257.67,497.83,57.14,42.954,43.665,734.4999999999999,0.0,01015018
하이라이스,360.0,477.6,84.591,0.0,9.669,7.92,5.94,139.95,991.68,251.61,6.6,0.546,1.506,8.574,0.0,01015019
김치김밥,250.0,377.2620000000001,71.80399999999999,0.0,4.619999999999999,11.449,79.06,220.2,967.7899999999998,413.86,3.6,1.462,1.957,99.6,0.0,01016001
농어초밥,250.0,414.78,74.14399999999999,6.972,2.367,19.925,54.125,273.49,1385.46,479.7,0.0,1.5765,1.6655,43.47,0.0,01016002
문어초밥,250.0,377.97,71.835,4.98,1.03,16.904,30.2,256.61,1420.922,395.09,25.75,1.113,2.523,96.0,0.0,01016003
